001  00218 |Loss: 3.973 | Acc: 6.931% 
001  00219 |Loss: 3.971 | Acc: 6.938% 
001  00220 |Loss: 3.969 | Acc: 6.932% 
001  00221 |Loss: 3.968 | Acc: 6.939% 
001  00222 |Loss: 3.966 | Acc: 6.947% 
001  00223 |Loss: 3.965 | Acc: 6.951% 
001  00224 |Loss: 3.963 | Acc: 6.961% 
001  00225 |Loss: 3.960 | Acc: 6.990% 
001  00226 |Loss: 3.959 | Acc: 6.997% 
001  00227 |Loss: 3.958 | Acc: 6.993% 
001  00228 |Loss: 3.956 | Acc: 7.007% 
001  00229 |Loss: 3.955 | Acc: 6.994% 
001  00230 |Loss: 3.954 | Acc: 7.007% 
001  00231 |Loss: 3.954 | Acc: 7.018% 
001  00232 |Loss: 3.953 | Acc: 7.018% 
001  00233 |Loss: 3.951 | Acc: 7.025% 
001  00234 |Loss: 3.950 | Acc: 7.028% 
001  00235 |Loss: 3.949 | Acc: 7.028% 
001  00236 |Loss: 3.948 | Acc: 7.028% 
001  00237 |Loss: 3.947 | Acc: 7.044% 
001  00238 |Loss: 3.945 | Acc: 7.061% 
001  00239 |Loss: 3.944 | Acc: 7.070% 
001  00240 |Loss: 3.943 | Acc: 7.074% 
001  00241 |Loss: 3.940 | Acc: 7.099% 
001  00242 |Loss: 3.939 | Acc: 7.109% 
001  00243 |Loss: 3.938 | Acc: 7.134% 
001  00244 |Loss: 3.937 | Acc: 7.143% 
001  00245 |Loss: 3.935 | Acc: 7.165% 
001  00246 |Loss: 3.934 | Acc: 7.181% 
001  00247 |Loss: 3.932 | Acc: 7.193% 
001  00248 |Loss: 3.930 | Acc: 7.198% 
001  00249 |Loss: 3.929 | Acc: 7.198% 
001  00250 |Loss: 3.928 | Acc: 7.197% 
001  00251 |Loss: 3.926 | Acc: 7.202% 
001  00252 |Loss: 3.924 | Acc: 7.205% 
001  00253 |Loss: 3.923 | Acc: 7.232% 
001  00254 |Loss: 3.921 | Acc: 7.237% 
001  00255 |Loss: 3.920 | Acc: 7.249% 
001  00256 |Loss: 3.918 | Acc: 7.257% 
001  00257 |Loss: 3.917 | Acc: 7.268% 
001  00258 |Loss: 3.916 | Acc: 7.283% 
001  00259 |Loss: 3.915 | Acc: 7.300% 
001  00260 |Loss: 3.914 | Acc: 7.314% 
001  00261 |Loss: 3.913 | Acc: 7.328% 
001  00262 |Loss: 3.911 | Acc: 7.335% 
001  00263 |Loss: 3.910 | Acc: 7.340% 
001  00264 |Loss: 3.908 | Acc: 7.369% 
001  00265 |Loss: 3.906 | Acc: 7.394% 
001  00266 |Loss: 3.905 | Acc: 7.401% 
001  00267 |Loss: 3.903 | Acc: 7.409% 
001  00268 |Loss: 3.901 | Acc: 7.428% 
001  00269 |Loss: 3.900 | Acc: 7.423% 
001  00270 |Loss: 3.897 | Acc: 7.448% 
001  00271 |Loss: 3.896 | Acc: 7.449% 
001  00272 |Loss: 3.895 | Acc: 7.468% 
001  00273 |Loss: 3.894 | Acc: 7.461% 
001  00274 |Loss: 3.892 | Acc: 7.473% 
001  00275 |Loss: 3.891 | Acc: 7.466% 
001  00276 |Loss: 3.890 | Acc: 7.481% 
001  00277 |Loss: 3.889 | Acc: 7.483% 
001  00278 |Loss: 3.888 | Acc: 7.478% 
001  00279 |Loss: 3.886 | Acc: 7.493% 
001  00280 |Loss: 3.885 | Acc: 7.506% 
001  00281 |Loss: 3.884 | Acc: 7.512% 
001  00282 |Loss: 3.883 | Acc: 7.513% 
001  00283 |Loss: 3.881 | Acc: 7.536% 
001  00284 |Loss: 3.881 | Acc: 7.540% 
001  00285 |Loss: 3.880 | Acc: 7.560% 
001  00286 |Loss: 3.879 | Acc: 7.569% 
