001  00213 |Loss: 2.088 | Acc: 27.931% 
001  00214 |Loss: 2.086 | Acc: 28.008% 
001  00215 |Loss: 2.083 | Acc: 28.089% 
001  00216 |Loss: 2.082 | Acc: 28.132% 
001  00217 |Loss: 2.080 | Acc: 28.179% 
001  00218 |Loss: 2.078 | Acc: 28.193% 
001  00219 |Loss: 2.076 | Acc: 28.232% 
001  00220 |Loss: 2.075 | Acc: 28.281% 
001  00221 |Loss: 2.073 | Acc: 28.319% 
001  00222 |Loss: 2.071 | Acc: 28.371% 
001  00223 |Loss: 2.069 | Acc: 28.430% 
001  00224 |Loss: 2.068 | Acc: 28.425% 
001  00225 |Loss: 2.066 | Acc: 28.465% 
001  00226 |Loss: 2.064 | Acc: 28.478% 
001  00227 |Loss: 2.063 | Acc: 28.514% 
001  00228 |Loss: 2.061 | Acc: 28.553% 
001  00229 |Loss: 2.059 | Acc: 28.599% 
001  00230 |Loss: 2.057 | Acc: 28.641% 
001  00231 |Loss: 2.056 | Acc: 28.673% 
001  00232 |Loss: 2.054 | Acc: 28.718% 
001  00233 |Loss: 2.052 | Acc: 28.739% 
001  00234 |Loss: 2.051 | Acc: 28.756% 
001  00235 |Loss: 2.049 | Acc: 28.780% 
001  00236 |Loss: 2.047 | Acc: 28.823% 
001  00237 |Loss: 2.046 | Acc: 28.847% 
001  00238 |Loss: 2.044 | Acc: 28.877% 
001  00239 |Loss: 2.043 | Acc: 28.893% 
001  00240 |Loss: 2.041 | Acc: 28.932% 
001  00241 |Loss: 2.040 | Acc: 28.974% 
001  00242 |Loss: 2.038 | Acc: 29.006% 
001  00243 |Loss: 2.037 | Acc: 29.051% 
001  00244 |Loss: 2.035 | Acc: 29.095% 
001  00245 |Loss: 2.034 | Acc: 29.133% 
001  00246 |Loss: 2.031 | Acc: 29.189% 
001  00247 |Loss: 2.030 | Acc: 29.226% 
001  00248 |Loss: 2.028 | Acc: 29.243% 
001  00249 |Loss: 2.027 | Acc: 29.292% 
001  00250 |Loss: 2.025 | Acc: 29.331% 
001  00251 |Loss: 2.023 | Acc: 29.395% 
001  00252 |Loss: 2.021 | Acc: 29.455% 
001  00253 |Loss: 2.020 | Acc: 29.496% 
001  00254 |Loss: 2.019 | Acc: 29.534% 
001  00255 |Loss: 2.017 | Acc: 29.559% 
001  00256 |Loss: 2.015 | Acc: 29.590% 
001  00257 |Loss: 2.015 | Acc: 29.615% 
001  00258 |Loss: 2.013 | Acc: 29.694% 
001  00259 |Loss: 2.011 | Acc: 29.712% 
001  00260 |Loss: 2.010 | Acc: 29.739% 
001  00261 |Loss: 2.009 | Acc: 29.789% 
001  00262 |Loss: 2.007 | Acc: 29.834% 
001  00263 |Loss: 2.005 | Acc: 29.872% 
001  00264 |Loss: 2.004 | Acc: 29.886% 
001  00265 |Loss: 2.003 | Acc: 29.909% 
001  00266 |Loss: 2.002 | Acc: 29.937% 
001  00267 |Loss: 2.000 | Acc: 29.968% 
001  00268 |Loss: 1.999 | Acc: 30.002% 
001  00269 |Loss: 1.998 | Acc: 30.019% 
001  00270 |Loss: 1.996 | Acc: 30.038% 
001  00271 |Loss: 1.996 | Acc: 30.062% 
001  00272 |Loss: 1.994 | Acc: 30.136% 
001  00273 |Loss: 1.993 | Acc: 30.168% 
001  00274 |Loss: 1.991 | Acc: 30.218% 
001  00275 |Loss: 1.990 | Acc: 30.224% 
001  00276 |Loss: 1.989 | Acc: 30.251% 
001  00277 |Loss: 1.987 | Acc: 30.294% 
001  00278 |Loss: 1.986 | Acc: 30.328% 
001  00279 |Loss: 1.985 | Acc: 30.362% 
001  00280 |Loss: 1.983 | Acc: 30.382% 
001  00281 |Loss: 1.982 | Acc: 30.405% 
001  00282 |Loss: 1.981 | Acc: 30.449% 
001  00283 |Loss: 1.979 | Acc: 30.469% 
001  00284 |Loss: 1.978 | Acc: 30.516% 
001  00285 |Loss: 1.977 | Acc: 30.576% 
001  00286 |Loss: 1.976 | Acc: 30.603% 
001  00287 |Loss: 1.975 | Acc: 30.621% 
001  00288 |Loss: 1.974 | Acc: 30.650% 
001  00289 |Loss: 1.972 | Acc: 30.680% 
001  00290 |Loss: 1.971 | Acc: 30.749% 
001  00291 |Loss: 1.970 | Acc: 30.764% 
001  00292 |Loss: 1.968 | Acc: 30.792% 
001  00293 |Loss: 1.967 | Acc: 30.821% 
001  00294 |Loss: 1.966 | Acc: 30.854% 
001  00295 |Loss: 1.964 | Acc: 30.914% 
001  00296 |Loss: 1.963 | Acc: 30.946% 
001  00297 |Loss: 1.962 | Acc: 30.955% 
001  00298 |Loss: 1.962 | Acc: 30.983% 
001  00299 |Loss: 1.961 | Acc: 31.012% 
001  00300 |Loss: 1.959 | Acc: 31.070% 
001  00301 |Loss: 1.958 | Acc: 31.112% 
001  00302 |Loss: 1.956 | Acc: 31.147% 
001  00303 |Loss: 1.955 | Acc: 31.180% 
001  00304 |Loss: 1.954 | Acc: 31.193% 
001  00305 |Loss: 1.953 | Acc: 31.242% 
001  00306 |Loss: 1.952 | Acc: 31.260% 
001  00307 |Loss: 1.951 | Acc: 31.303% 
001  00308 |Loss: 1.949 | Acc: 31.362% 
001  00309 |Loss: 1.949 | Acc: 31.387% 
001  00310 |Loss: 1.947 | Acc: 31.406% 
001  00311 |Loss: 1.946 | Acc: 31.426% 
001  00312 |Loss: 1.945 | Acc: 31.465% 
001  00313 |Loss: 1.944 | Acc: 31.500% 
001  00314 |Loss: 1.942 | Acc: 31.544% 
001  00315 |Loss: 1.941 | Acc: 31.572% 
001  00316 |Loss: 1.939 | Acc: 31.623% 
001  00317 |Loss: 1.938 | Acc: 31.649% 
001  00318 |Loss: 1.937 | Acc: 31.675% 
001  00319 |Loss: 1.936 | Acc: 31.698% 
001  00320 |Loss: 1.934 | Acc: 31.755% 
001  00321 |Loss: 1.933 | Acc: 31.790% 
001  00322 |Loss: 1.932 | Acc: 31.820% 
001  00323 |Loss: 1.931 | Acc: 31.847% 
001  00324 |Loss: 1.930 | Acc: 31.901% 
001  00325 |Loss: 1.928 | Acc: 31.928% 
001  00326 |Loss: 1.927 | Acc: 31.974% 
001  00327 |Loss: 1.927 | Acc: 31.986% 
001  00328 |Loss: 1.925 | Acc: 32.007% 
001  00329 |Loss: 1.924 | Acc: 32.041% 
001  00330 |Loss: 1.923 | Acc: 32.055% 
001  00331 |Loss: 1.923 | Acc: 32.050% 
001  00332 |Loss: 1.921 | Acc: 32.081% 
001  00333 |Loss: 1.921 | Acc: 32.095% 
001  00334 |Loss: 1.920 | Acc: 32.101% 
001  00335 |Loss: 1.919 | Acc: 32.132% 
001  00336 |Loss: 1.918 | Acc: 32.166% 
001  00337 |Loss: 1.917 | Acc: 32.187% 
001  00338 |Loss: 1.915 | Acc: 32.225% 
001  00339 |Loss: 1.914 | Acc: 32.259% 
001  00340 |Loss: 1.913 | Acc: 32.286% 
001  00341 |Loss: 1.912 | Acc: 32.306% 
001  00342 |Loss: 1.911 | Acc: 32.326% 
001  00343 |Loss: 1.910 | Acc: 32.355% 
001  00344 |Loss: 1.910 | Acc: 32.365% 
001  00345 |Loss: 1.909 | Acc: 32.369% 
001  00346 |Loss: 1.908 | Acc: 32.417% 
001  00347 |Loss: 1.907 | Acc: 32.441% 
001  00348 |Loss: 1.906 | Acc: 32.467% 
001  00349 |Loss: 1.905 | Acc: 32.483% 
001  00350 |Loss: 1.904 | Acc: 32.496% 
001  00351 |Loss: 1.903 | Acc: 32.523% 
001  00352 |Loss: 1.903 | Acc: 32.540% 
001  00353 |Loss: 1.902 | Acc: 32.576% 
001  00354 |Loss: 1.901 | Acc: 32.592% 
001  00355 |Loss: 1.900 | Acc: 32.623% 
001  00356 |Loss: 1.899 | Acc: 32.650% 
001  00357 |Loss: 1.898 | Acc: 32.670% 
001  00358 |Loss: 1.897 | Acc: 32.668% 
001  00359 |Loss: 1.896 | Acc: 32.695% 
001  00360 |Loss: 1.895 | Acc: 32.737% 
001  00361 |Loss: 1.894 | Acc: 32.787% 
001  00362 |Loss: 1.893 | Acc: 32.821% 
001  00363 |Loss: 1.892 | Acc: 32.847% 
001  00364 |Loss: 1.891 | Acc: 32.873% 
001  00365 |Loss: 1.890 | Acc: 32.898% 
001  00366 |Loss: 1.889 | Acc: 32.915% 
001  00367 |Loss: 1.889 | Acc: 32.942% 
001  00368 |Loss: 1.887 | Acc: 32.976% 
