001  00256 |Loss: 2.272 | Acc: 37.338% 
001  00257 |Loss: 2.271 | Acc: 37.397% 
001  00258 |Loss: 2.270 | Acc: 37.445% 
001  00259 |Loss: 2.270 | Acc: 37.464% 
001  00260 |Loss: 2.269 | Acc: 37.482% 
001  00261 |Loss: 2.268 | Acc: 37.542% 
001  00262 |Loss: 2.267 | Acc: 37.589% 
001  00263 |Loss: 2.265 | Acc: 37.657% 
001  00264 |Loss: 2.263 | Acc: 37.734% 
001  00265 |Loss: 2.263 | Acc: 37.759% 
001  00266 |Loss: 2.262 | Acc: 37.800% 
001  00267 |Loss: 2.261 | Acc: 37.836% 
001  00268 |Loss: 2.260 | Acc: 37.894% 
001  00269 |Loss: 2.259 | Acc: 37.930% 
001  00270 |Loss: 2.258 | Acc: 37.983% 
001  00271 |Loss: 2.257 | Acc: 38.010% 
001  00272 |Loss: 2.256 | Acc: 38.060% 
001  00273 |Loss: 2.255 | Acc: 38.104% 
001  00274 |Loss: 2.254 | Acc: 38.159% 
001  00275 |Loss: 2.252 | Acc: 38.213% 
001  00276 |Loss: 2.251 | Acc: 38.253% 
001  00277 |Loss: 2.250 | Acc: 38.290% 
001  00278 |Loss: 2.249 | Acc: 38.363% 
001  00279 |Loss: 2.248 | Acc: 38.404% 
001  00280 |Loss: 2.247 | Acc: 38.424% 
001  00281 |Loss: 2.246 | Acc: 38.473% 
001  00282 |Loss: 2.245 | Acc: 38.511% 
001  00283 |Loss: 2.244 | Acc: 38.568% 
001  00284 |Loss: 2.244 | Acc: 38.576% 
001  00285 |Loss: 2.242 | Acc: 38.651% 
001  00286 |Loss: 2.240 | Acc: 38.724% 
001  00287 |Loss: 2.240 | Acc: 38.766% 
001  00288 |Loss: 2.239 | Acc: 38.818% 
001  00289 |Loss: 2.238 | Acc: 38.846% 
001  00290 |Loss: 2.237 | Acc: 38.882% 
001  00291 |Loss: 2.236 | Acc: 38.923% 
001  00292 |Loss: 2.236 | Acc: 38.923% 
001  00293 |Loss: 2.235 | Acc: 38.972% 
001  00294 |Loss: 2.234 | Acc: 39.025% 
001  00295 |Loss: 2.233 | Acc: 39.047% 
001  00296 |Loss: 2.232 | Acc: 39.065% 
001  00297 |Loss: 2.231 | Acc: 39.118% 
001  00298 |Loss: 2.230 | Acc: 39.170% 
001  00299 |Loss: 2.229 | Acc: 39.206% 
001  00300 |Loss: 2.228 | Acc: 39.273% 
001  00301 |Loss: 2.227 | Acc: 39.314% 
001  00302 |Loss: 2.225 | Acc: 39.383% 
001  00303 |Loss: 2.224 | Acc: 39.418% 
001  00304 |Loss: 2.223 | Acc: 39.456% 
001  00305 |Loss: 2.222 | Acc: 39.503% 
001  00306 |Loss: 2.221 | Acc: 39.563% 
001  00307 |Loss: 2.221 | Acc: 39.599% 
001  00308 |Loss: 2.219 | Acc: 39.659% 
001  00309 |Loss: 2.218 | Acc: 39.687% 
001  00310 |Loss: 2.217 | Acc: 39.735% 
001  00311 |Loss: 2.216 | Acc: 39.791% 
001  00312 |Loss: 2.215 | Acc: 39.851% 
001  00313 |Loss: 2.214 | Acc: 39.869% 
001  00314 |Loss: 2.213 | Acc: 39.903% 
001  00315 |Loss: 2.212 | Acc: 39.936% 
001  00316 |Loss: 2.211 | Acc: 40.007% 
001  00317 |Loss: 2.210 | Acc: 40.038% 
001  00318 |Loss: 2.209 | Acc: 40.082% 
001  00319 |Loss: 2.208 | Acc: 40.128% 
001  00320 |Loss: 2.207 | Acc: 40.178% 
001  00321 |Loss: 2.206 | Acc: 40.194% 
001  00322 |Loss: 2.205 | Acc: 40.251% 
001  00323 |Loss: 2.203 | Acc: 40.289% 
001  00324 |Loss: 2.203 | Acc: 40.316% 
001  00325 |Loss: 2.202 | Acc: 40.368% 
001  00326 |Loss: 2.201 | Acc: 40.414% 
001  00327 |Loss: 2.199 | Acc: 40.467% 
001  00328 |Loss: 2.199 | Acc: 40.496% 
001  00329 |Loss: 2.197 | Acc: 40.566% 
001  00330 |Loss: 2.196 | Acc: 40.599% 
